fid,field_1_1,Name,osm_id,ref,oneway,maxspeed,bridge,tunnel,Y,X,Z
290,10705,Prithvi Highway,574909741,H04,B,0,F,F,28.1038011,84.0862174,580.9
291,10707,Prithvi Highway,574909741,H04,B,0,F,F,28.1029165,84.0857304,583.4
292,10709,Prithvi Highway,574909741,H04,B,0,F,F,28.1020188,84.0852419,582.9
293,10711,Prithvi Highway,574909741,H04,B,0,F,F,28.1014366,84.0849186,586.2
294,10713,Prithvi Highway,574909741,H04,B,0,F,F,28.1011301,84.0847273,580.4
295,10715,Prithvi Highway,574909741,H04,B,0,F,F,28.1008333,84.0845135,582
296,10717,Prithvi Highway,574909741,H04,B,0,F,F,28.1002906,84.0840709,576.1
297,10719,Prithvi Highway,574909741,H04,B,0,F,F,28.1000063,84.0838234,577.1
298,10721,Prithvi Highway,574909741,H04,B,0,F,F,28.0997224,84.0835869,579.4
299,10723,Prithvi Highway,574909741,H04,B,0,F,F,28.0994455,84.0833822,578.7
300,10725,Prithvi Highway,574909741,H04,B,0,F,F,28.0991689,84.0831895,577.9
301,10727,Prithvi Highway,574909741,H04,B,0,F,F,28.0985748,84.0828203,579.2
302,10729,Prithvi Highway,574909741,H04,B,0,F,F,28.0979844,84.0824996,577.3
303,10731,Prithvi Highway,574909741,H04,B,0,F,F,28.0975516,84.0823303,576.2
304,10733,Prithvi Highway,574909741,H04,B,0,F,F,28.097121,84.0822261,573.7
305,10735,Prithvi Highway,574909741,H04,B,0,F,F,28.0965341,84.0821103,570.8
306,10737,Prithvi Highway,574909741,H04,B,0,F,F,28.0961982,84.0820366,570.7
307,10739,Prithvi Highway,574909741,H04,B,0,F,F,28.0960111,84.0819767,569.8
308,10741,Prithvi Highway,574909741,H04,B,0,F,F,28.0958368,84.0818917,566.9
